Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Label(Ultra),Label(Damage),Label(Distance)
1,0.17,30,2,0,5,3.988739729,-15933.58936,-549.2374766,0,0,1
1,0.17,30,2,0,5,9999.900391,-2571.335815,-496.0951433,1,1,1
1,0.22,36,5,0,2,9999.900391,-13055.87598,-590.0228717,1,0,1
1,0.22,36,5,0,2,9999.900391,-12967.88477,-524.877973,1,0,1
1,0.22,36,5,0,2,9999.900391,-18339.84277,-524.0130551,1,0,1
1,0.22,36,5,0,2,9999.900391,-17546.00879,-560.0702697,1,0,1
1,0.22,36,5,0,2,9999.900391,-29751.43555,-562.3172605,1,0,1
1,0.22,36,5,0,2,9999.900391,-15638.35645,-545.3103629,1,0,1
1,0.22,36,5,0,2,9999.900391,-16826.98145,-553.4948857,1,0,1
1,0.22,36,5,0,2,9999.900391,-7741.173096,-493.3357404,1,1,1
1,0.22,36,5,0,2,9999.900391,-15415.54785,-685.5585539,1,0,1
1,0.22,36,5,0,2,9999.900391,-13813.10889,-583.3817881,1,0,1
1,0.24,30,1,0,0,9999.900391,-2196.908096,-489.4035592,1,1,1
1,0.24,30,1,0,0,9999.900391,-2215.712143,-488.9827165,1,1,1
1,0.24,30,1,0,0,9999.900391,-2203.877747,-489.9843636,1,1,1
1,0.24,30,1,0,0,9999.900391,-2204.805389,-485.1329723,1,1,1
1,0.24,30,1,0,0,9999.900391,-2201.157913,-491.7804881,1,1,1
1,0.24,30,1,0,0,9999.900391,-2202.138474,-491.9392691,1,1,1
1,0.24,30,1,0,0,9999.900391,-2200.906311,-492.4176021,1,1,1
1,0.24,30,1,0,0,9999.900391,-2204.43837,-492.935856,1,1,1
1,0.24,30,1,0,0,9999.900391,-2204.727615,-488.3277238,1,1,1
1,0.24,30,1,0,0,9999.900391,-2204.746704,-489.5484687,1,1,1
1,0.24,46,0,0,4,9999.900391,-1173.199982,-492.4690097,1,1,1
1,0.24,46,0,0,4,9999.900391,-1230.483612,-492.5784318,1,1,1
1,0.24,46,0,0,4,9999.900391,-2238.401367,-492.6378625,1,1,1
1,0.24,46,0,0,4,9999.900391,-2238.786301,-492.2860088,1,1,1
1,0.24,46,0,0,4,9999.900391,-1168.942337,-489.1963006,1,1,1
1,0.24,46,0,0,4,9999.900391,-1160.872482,-490.5532479,1,1,1
1,0.24,46,0,0,4,9999.900391,-1161.069473,-488.9007501,1,1,1
1,0.24,46,0,0,4,9999.900391,-2239.059799,-492.4250032,1,1,1
1,0.24,46,0,0,4,9999.900391,-1177.183121,-491.0310403,1,1,1
1,0.24,46,0,0,4,9999.900391,-1164.810791,-490.7573669,1,1,1
1,0.39,45,4,0,2,9999.900391,-13919.52539,-594.5523089,1,0,1
1,0.39,45,4,0,2,3.967544556,-21663.96582,-550.6065211,0,0,1
1,0.39,45,4,0,2,9999.900391,-2425.318512,-499.3213097,1,1,1
1,0.39,45,4,0,2,9999.900391,-2336.31427,-492.7416135,1,1,1
1,0.39,45,4,0,2,9999.900391,-20074.68262,-540.2378338,1,0,1
1,0.39,45,4,0,2,2.831591606,-20063.63574,-586.1548703,0,0,1
1,0.39,45,4,0,2,9999.900391,-30342.17578,-543.5389965,1,0,1
1,0.39,45,4,0,2,9999.900391,-5303.633392,-492.4762443,1,1,1
1,0.39,45,4,0,2,9999.900391,-1265.332275,-503.9699663,1,1,1
1,0.39,45,4,0,2,9999.900391,-16330.40039,-642.8854715,1,0,1
1,0.49,47,5,1,3,1.186405182,-29964.33203,-577.2004034,0,0,1
1,0.49,47,5,1,3,9999.900391,-20178.23242,-584.1979239,1,0,1
1,0.49,47,5,1,3,9999.900391,-29123.33008,-588.2978212,1,0,1
1,0.49,47,5,1,3,9999.900391,-31897.25,-582.6984211,1,0,1
1,0.49,47,5,1,3,4.26722002,-21820.34863,-568.4391358,0,0,1
1,0.49,47,5,1,3,9999.900391,-14963.8877,-683.3427486,1,0,1
1,0.49,47,5,1,3,1.932495117,-36801.21875,-581.1352452,0,0,1
1,0.49,47,5,1,3,9999.900391,-2176.975449,-508.638803,1,1,1
1,0.49,47,5,1,3,9999.900391,-24946.30664,-592.0219582,1,0,1
1,0.49,47,5,1,3,9999.900391,-18278.04102,-556.7337811,1,0,1
1,0.56,49,6,1,4,1.896977544,-28991.24023,-578.4279871,0,0,1
1,0.56,49,6,1,4,9999.900391,-8308.113525,-715.5303205,1,1,0
1,0.56,49,6,1,4,9999.900391,-5719.768066,-819.4709874,1,1,0
1,0.56,49,6,1,4,9999.900391,-11401.66504,-651.3416283,1,0,1
1,0.56,49,6,1,4,9999.900391,-13938.68311,-696.0200796,1,0,1
1,0.56,49,6,1,4,1.767360926,-20485.11523,-588.3134286,0,0,1
1,0.56,49,6,1,4,9999.900391,-20067.18164,-597.7354417,1,0,1
1,0.56,49,6,1,4,9999.900391,-17410.64063,-660.4347935,1,0,1
1,0.56,49,6,1,4,9999.900391,-14665.32031,-694.253318,1,0,1
1,0.56,49,6,1,4,9999.900391,-30003.44727,-596.4240015,1,0,1
1,0.65,44,10,1,1,2.262712002,-20702.94238,-689.1313587,0,0,1
1,0.65,44,10,1,1,3.299542189,-19319.66406,-691.391948,0,0,1
1,0.65,44,10,1,1,9999.900391,-5099.046387,-746.6924304,1,1,0
1,0.65,44,10,1,1,4.939138889,-10130.14502,-710.4809103,0,1,0
1,0.65,44,10,1,1,3.03395319,-16338.20313,-684.7678091,0,0,1
1,0.65,44,10,1,1,9999.900391,-13357.59717,-711.2861871,1,0,0
1,0.65,44,10,1,1,9999.900391,-15649.48242,-678.7269668,1,0,1
1,0.65,44,10,1,1,9999.900391,-14278.42773,-711.3171992,1,0,0
1,0.65,44,10,1,1,4.758877754,-25709.20898,-675.4100633,0,0,1
1,0.65,44,10,1,1,9999.900391,-27405.80273,-601.1299792,1,0,1
1,0.66,44,8,0,6,3.682044029,-20007.97852,-588.6643391,0,0,1
